x,y,z,rgb,pl_name,hostname,gaia_id,sy_snum,sy_pnum,sy_mnum,disc_year,pl_rade,pl_bmasse,pl_dens,pl_orbincl,sy_dist
323.1767061960636,-577.682230976007,562.2209139794129,"(75, 114, 138)",Kepler-305 e,Kepler-305,Gaia DR2 2073547954981763328,1,4,0,2020,1.794,3.87,3.68,87.1,868.477
187.20919892225015,-558.2554571668329,504.95690056017605,"(75, 114, 138)",Kepler-306 b,Kepler-306,Gaia DR2 2102067396802935680,1,4,0,2014,1.52,2.92,4.57,83.18,775.679
187.20919892225015,-558.2554571668329,504.95690056017605,"(88, 134, 163)",Kepler-306 c,Kepler-306,Gaia DR2 2102067396802935680,1,4,0,2014,2.35,6.12,2.59,88.29,775.679
187.20919892225015,-558.2554571668329,504.95690056017605,"(88, 134, 163)",Kepler-306 d,Kepler-306,Gaia DR2 2102067396802935680,1,4,0,2014,2.47,6.66,2.43,88.0,775.679
187.20919892225015,-558.2554571668329,504.95690056017605,"(113, 141, 150)",Kepler-306 e,Kepler-306,Gaia DR2 2102067396802935680,1,4,0,2014,2.27,5.77,2.71,88.5,775.679
204.3430789842497,-387.65159097349516,373.1804357786656,"(88, 134, 163)",Kepler-307 b,Kepler-307,Gaia DR2 2073691303802278784,1,2,0,2013,2.43,7.44,2.62,88.23,575.581
204.3430789842497,-387.65159097349516,373.1804357786656,"(88, 134, 163)",Kepler-307 c,Kepler-307,Gaia DR2 2073691303802278784,1,2,0,2013,2.2,3.64,1.74,88.37,575.581
442.2880198786724,-915.5184303946587,866.5388378367722,"(88, 134, 163)",Kepler-308 b,Kepler-308,Gaia DR2 2076400156855612416,1,2,0,2014,2.12,5.14,2.96,89.36,1335.92
442.2880198786724,-915.5184303946587,866.5388378367722,"(88, 134, 163)",Kepler-308 c,Kepler-308,Gaia DR2 2076400156855612416,1,2,0,2014,2.16,5.31,2.9,89.97,1335.92
171.67161251175625,-329.6391471991381,398.021603327556,"(75, 114, 138)",Kepler-309 b,Kepler-309,Gaia DR2 2086315415269037696,1,2,0,2014,1.56,3.05,4.41,89.85,544.568
171.67161251175625,-329.6391471991381,398.021603327556,"(113, 141, 150)",Kepler-309 c,Kepler-309,Gaia DR2 2086315415269037696,1,2,0,2014,2.51,6.85,2.38,89.71,544.568
472.00554431576796,-1058.9963863911391,1194.4721634871553,"(71, 108, 132)",Kepler-31 b,Kepler-31,Gaia DR2 2128013019361703936,1,3,0,2011,5.5,25.9,0.855,89.88,1664.64
472.00554431576796,-1058.9963863911391,1194.4721634871553,"(47, 72, 88)",Kepler-31 c,Kepler-31,Gaia DR2 2128013019361703936,1,3,0,2011,5.3,1493.7,,89.85,1664.64
472.00554431576796,-1058.9963863911391,1194.4721634871553,"(87, 108, 115)",Kepler-31 d,Kepler-31,Gaia DR2 2128013019361703936,1,3,0,2014,3.9,2161.244,,89.89,1664.64
132.66869820953443,-388.8377767366477,440.37591183202613,"(81, 124, 128)",Kepler-310 b,Kepler-310,Gaia DR2 2127798442794047104,1,3,0,2014,1.19,1.81,5.9,87.46,602.268
132.66869820953443,-388.8377767366477,440.37591183202613,"(113, 141, 150)",Kepler-310 c,Kepler-310,Gaia DR2 2127798442794047104,1,3,0,2014,3.38,11.4,1.62,88.81,602.268
132.66869820953443,-388.8377767366477,440.37591183202613,"(96, 119, 127)",Kepler-310 d,Kepler-310,Gaia DR2 2127798442794047104,1,3,0,2014,2.47,7.0,3.3,88.82,602.268
110.78731949552655,-518.4862652850472,570.263285041006,"(75, 114, 138)",Kepler-311 b,Kepler-311,Gaia DR2 2119534646538533888,1,3,0,2014,1.7,3.53,3.95,89.63,778.654
110.78731949552655,-518.4862652850472,570.263285041006,"(90, 136, 141)",Kepler-311 c,Kepler-311,Gaia DR2 2119534646538533888,1,3,0,2014,1.43,2.63,4.94,88.06,778.654
110.78731949552655,-518.4862652850472,570.263285041006,"(96, 119, 127)",Kepler-311 d,Kepler-311,Gaia DR2 2119534646538533888,1,3,0,2023,2.05,4.86,3.1,89.7,778.654
279.8757133221146,-517.7106827498988,538.5187391902635,"(128, 41, 0)",Kepler-312 b,Kepler-312,Gaia DR2 2078450436800904448,1,2,0,2014,1.29,2.21,5.66,89.94,797.72
279.8757133221146,-517.7106827498988,538.5187391902635,"(88, 134, 163)",Kepler-312 c,Kepler-312,Gaia DR2 2078450436800904448,1,2,0,2014,3.15,10.1,1.78,89.06,797.72
337.17942210289397,-626.3444635003518,811.8477402006793,"(88, 134, 163)",Kepler-313 b,Kepler-313,Gaia DR2 2086932653608913024,1,2,0,2014,2.53,6.94,2.35,88.91,1079.3952487
337.17942210289397,-626.3444635003518,811.8477402006793,"(88, 134, 163)",Kepler-313 c,Kepler-313,Gaia DR2 2086932653608913024,1,2,0,2014,2.57,7.13,2.31,88.5,1079.3952487
83.31607523371702,-181.35761821390946,180.18001577430124,"(141, 109, 0)",Kepler-314 b,Kepler-314,Gaia DR2 2077540827141811200,1,2,0,2014,0.83,0.498,4.79,85.4,268.881
83.31607523371702,-181.35761821390946,180.18001577430124,"(88, 134, 163)",Kepler-314 c,Kepler-314,Gaia DR2 2077540827141811200,1,2,0,2014,2.9,8.75,1.97,85.57,268.881
396.43689783965766,-744.8648401027718,796.9166536783764,"(130, 162, 173)",Kepler-315 b,Kepler-315,Gaia DR2 2078635910668511872,1,2,0,2014,3.77,13.7,1.4,88.26,1160.63
396.43689783965766,-744.8648401027718,796.9166536783764,"(130, 162, 173)",Kepler-315 c,Kepler-315,Gaia DR2 2078635910668511872,1,2,0,2014,4.15,16.1,1.24,89.31,1160.63
98.14061865565239,-258.0064915249506,268.28778046133857,"(81, 124, 128)",Kepler-316 b,Kepler-316,Gaia DR2 2126214287057239680,1,2,0,2014,1.06,1.2,5.54,87.63,384.938
98.14061865565239,-258.0064915249506,268.28778046133857,"(81, 124, 128)",Kepler-316 c,Kepler-316,Gaia DR2 2126214287057239680,1,2,0,2014,1.16,1.65,5.81,89.09,384.938
308.1330173638135,-662.4866847117983,592.3374859367269,"(68, 103, 125)",Kepler-317 b,Kepler-317,Gaia DR2 2052163518963966336,1,2,0,2014,2.09,109.8,66.1,87.89,940.584
308.1330173638135,-662.4866847117983,592.3374859367269,"(75, 114, 138)",Kepler-317 c,Kepler-317,Gaia DR2 2052163518963966336,1,2,0,2014,1.72,3.61,3.9,88.45,940.584
159.70258244179502,-294.34583803124247,356.53124782563907,"(192, 124, 0)",Kepler-318 b,Kepler-318,Gaia DR2 2085559604106082688,1,2,0,2014,4.71,19.9,1.05,87.66,489.141
159.70258244179502,-294.34583803124247,356.53124782563907,"(102, 155, 188)",Kepler-318 c,Kepler-318,Gaia DR2 2085559604106082688,1,2,0,2014,3.68,13.1,1.44,87.15,489.141
124.7762067386803,-366.2766805354691,322.0560473331063,"(141, 91, 0)",Kepler-319 b,Kepler-319,Gaia DR2 2101230049979183232,1,3,0,2014,1.63,3.29,4.17,86.03,503.436
124.7762067386803,-366.2766805354691,322.0560473331063,"(88, 134, 163)",Kepler-319 c,Kepler-319,Gaia DR2 2101230049979183232,1,3,0,2014,2.63,7.41,2.24,86.78,503.436
124.7762067386803,-366.2766805354691,322.0560473331063,"(88, 134, 163)",Kepler-319 d,Kepler-319,Gaia DR2 2101230049979183232,1,3,0,2014,2.29,5.86,2.68,89.85,503.436
103.97074366664461,-196.84560726712022,235.19942765670908,"(68, 103, 125)",Kepler-32 b,Kepler-32,Gaia DR2 2080287892525359872,1,5,0,2011,2.2,1303.0,,89.92,323.847
103.97074366664461,-196.84560726712022,235.19942765670908,"(87, 108, 115)",Kepler-32 c,Kepler-32,Gaia DR2 2080287892525359872,1,5,0,2011,2.0,158.9,,89.97,323.847
103.97074366664461,-196.84560726712022,235.19942765670908,"(113, 141, 150)",Kepler-32 d,Kepler-32,Gaia DR2 2080287892525359872,1,5,0,2012,2.7,7.75,2.16,89.99,323.847
103.97074366664461,-196.84560726712022,235.19942765670908,"(90, 136, 141)",Kepler-32 e,Kepler-32,Gaia DR2 2080287892525359872,1,5,0,2012,1.5,2.86,4.66,89.65,323.847
103.97074366664461,-196.84560726712022,235.19942765670908,"(141, 109, 0)",Kepler-32 f,Kepler-32,Gaia DR2 2080287892525359872,1,5,0,2012,0.82,0.477,4.75,88.93,323.847
225.6138056814613,-526.0537021853955,596.368145420232,"(128, 99, 0)",Kepler-320 b,Kepler-320,Gaia DR2 2128079230577866880,1,2,0,2014,1.14,1.55,5.75,71.53,826.613
225.6138056814613,-526.0537021853955,596.368145420232,"(141, 109, 0)",Kepler-320 c,Kepler-320,Gaia DR2 2128079230577866880,1,2,0,2014,1.37,2.45,5.24,80.93,826.613
114.22580602727254,-251.1833653084049,267.8281762506781,"(141, 91, 0)",Kepler-321 b,Kepler-321,Gaia DR2 2078327974388092544,1,2,0,2014,1.77,3.78,3.75,87.7,384.542
114.22580602727254,-251.1833653084049,267.8281762506781,"(88, 134, 163)",Kepler-321 c,Kepler-321,Gaia DR2 2078327974388092544,1,2,0,2014,2.32,5.99,2.64,87.96,384.542
56.405896480712975,-281.0392204859981,279.6776033057164,"(141, 109, 0)",Kepler-322 b,Kepler-322,Gaia DR2 2117317588719059968,1,2,0,2014,1.01,1.01,5.39,88.21,400.48
56.405896480712975,-281.0392204859981,279.6776033057164,"(75, 114, 138)",Kepler-322 c,Kepler-322,Gaia DR2 2117317588719059968,1,2,0,2014,1.67,3.43,4.05,89.77,400.48
130.46048990772394,-333.19891050149204,280.8506548018988,"(128, 41, 0)",Kepler-323 b,Kepler-323,Gaia DR2 2052582432887909376,1,2,0,2014,1.381,3.9,8.2,88.3,454.883
130.46048990772394,-333.19891050149204,280.8506548018988,"(128, 83, 0)",Kepler-323 c,Kepler-323,Gaia DR2 2052582432887909376,1,2,0,2014,1.57,6.8,9.6,88.7,454.883
92.07956250388477,-311.42521049261467,382.2462163510894,"(81, 124, 128)",Kepler-324 b,Kepler-324,Gaia DR2 2132078120004385152,1,4,0,2014,1.14,1.55,5.75,88.5,501.574
92.07956250388477,-311.42521049261467,382.2462163510894,"(113, 141, 150)",Kepler-324 c,Kepler-324,Gaia DR2 2132078120004385152,1,4,0,2014,3.15,10.1,1.78,89.75,501.574
